what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399493361695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399493373139
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399493375381
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1399493383368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399493384160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399493411341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493411769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493435574
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399493437559
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1399493437570
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399493437675
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1399493440552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493443082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493457430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493463082
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1399493466202
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1399493466258
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1399493466268
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1399493466302
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1399493466318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493467709
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399493470485
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399493473279
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399493477014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493478252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493481920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493488288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493506978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493517602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493542628
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1399493548911
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1399493549048
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399493553020
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399493555054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399493558271
